iter	Passed	Remaining
0	1	1498
1	1	979
2	2	844
3	3	790
4	3	741
5	4	709
6	4	683
7	5	664
8	5	652
9	6	640
10	7	636
11	7	649
12	8	640
13	9	635
14	9	628
15	10	622
16	10	619
17	11	614
18	11	612
19	12	609
20	13	607
21	13	605
22	14	601
23	14	599
24	15	598
25	15	595
26	16	596
27	17	595
28	17	595
29	18	590
30	18	587
31	19	585
32	19	583
33	20	580
34	20	577
35	21	584
36	22	583
37	22	578
38	23	573
39	23	571
40	24	572
41	25	572
42	25	571
43	26	569
44	27	575
45	27	574
46	29	596
47	30	612
48	31	618
49	32	623
50	33	620
51	33	617
52	34	615
53	34	612
54	35	610
55	36	607
56	36	605
57	37	603
58	37	600
59	38	599
60	38	596
61	39	595
62	39	593
63	40	591
64	41	591
65	42	603
66	43	607
67	44	605
68	44	600
69	45	598
70	45	596
71	46	594
72	46	592
73	47	590
74	48	593
75	48	592
76	49	590
77	49	588
78	50	587
79	50	585
80	51	584
81	52	583
82	52	582
83	53	580
84	53	578
85	54	576
86	54	575
87	55	575
88	56	574
89	56	574
90	57	572
91	57	571
92	58	570
93	59	568
94	59	567
95	60	566
96	60	565
97	61	564
98	61	563
99	62	562
100	63	561
101	63	560
102	64	558
103	64	557
104	65	556
105	65	553
106	66	552
107	66	550
108	67	549
109	67	547
110	68	546
111	68	546
112	69	545
113	70	544
114	70	544
115	71	543
116	71	542
117	72	540
118	72	539
119	73	538
120	73	535
121	74	534
122	74	532
123	75	531
124	75	530
125	76	529
126	76	528
127	77	527
128	78	526
129	79	533
130	80	533
131	80	531
132	81	530
133	81	529
134	82	529
135	83	529
136	83	528
137	84	528
138	85	527
139	85	526
140	86	525
141	86	524
142	87	523
143	87	521
144	88	520
145	88	519
146	89	518
147	89	517
148	90	516
149	90	515
150	91	514
151	92	513
152	92	512
153	93	512
154	93	511
155	94	509
156	94	508
157	95	508
158	95	507
159	96	506
160	97	506
161	97	505
162	98	505
163	99	505
164	99	504
165	100	504
166	101	503
167	101	502
168	102	502
169	102	501
170	103	500
171	103	499
172	104	498
173	104	497
174	105	496
175	105	495
176	106	494
177	106	493
178	107	492
179	107	491
180	108	490
181	109	490
182	109	489
183	110	488
184	110	487
185	111	486
186	112	487
187	112	486
188	113	486
189	113	485
190	114	484
191	115	484
192	115	483
193	116	483
194	116	482
195	117	481
196	117	480
197	118	479
198	118	478
199	119	478
200	120	477
201	120	476
202	121	476
203	121	475
204	122	474
205	122	473
206	123	472
207	123	471
208	124	470
209	125	470
210	125	470
211	126	469
212	126	468
213	128	471
214	128	470
215	129	470
216	130	469
217	130	468
218	131	467
219	131	466
220	132	465
221	132	464
222	133	463
223	133	462
224	134	462
225	134	461
226	135	460
227	135	459
228	136	458
229	136	457
230	137	457
